Service Title,Date of Upload,Service Category,Link,Format,Dzongkhag,Notes,Verified,,
Livestock products and delivery by gewog,Not given,Essential Supplies,http://www.chhukha.gov.bt/announcements/contact-points-livestock-products-and-transporters,Chhukha Dzongkhag website,Chhukha,PDF,Link to download,✓,Kheytsun
"Essential service contacts: Tsimasham, Tsimalakha, Wangkha, Tashigatshel and Bjabchog",14-Aug,Essential Supplies,https://www.facebook.com/chhukha/posts/3059896730775059,Chhukha Dzongkhag Administration ,Chhukha ,Image,"(Tsimasham, Tsimalakha, Wangkha, Tashigatshel and Bjabchog Area)",✓,Kheytsun
Special movement vehicle permits for those stranded,19-Aug,Retrieval(Stranded),https://www.facebook.com/chhukha/posts/3074306372667428,Chhukha Dzongkhag Administration ,Chhukha ,Image,(Except P/ling & Sampheling),✓,Kheytsun
Focals for Essential services (Southern Region),14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382997755095150/3385966041464988/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,,
Focals for Essential services (Southern Region) - DZO,14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382911001770492/3382906525104273/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,Also include in Category: Dzongkha,
Tsimalakha hospital contact number,12-Aug,General Health Services,https://www.facebook.com/tsimalakhahospital/posts/1193035234405517,Chhukha Dzongkhag Administration ,Chhukha ,Image,,✓,Kheytsun
"Emergency, essential and gewog contact points during lockdown",Not given,Helpline,http://www.chhukha.gov.bt/announcements/emergency-contact-points-covid-19-lockdown-chhukha-dzongkhag,Chhukha Dzongkhag website,Chhukha,PDF,Link to download,✓,Kheytsun
Contact details of Dzongdags,11-Aug,Local Leader,https://www.facebook.com/PMOBhutan/photos/pcb.3146796082099740/3146794685433213/?type=3&theater,Image,11th Aug 2020,National,✓ ,,
Details of Focal Officers in Dzongkhags,11-Aug,Local Leader,https://www.facebook.com/BHUTANMOEA/photos/a.626003584132913/3230046650395247/?type=3&theater,Image,11th Aug 2020,National,✓ ,Source: Ministry of Economic Affairs,Phuntsho 
Essentials services toll-free numbers by region,13-Aug,Toll-Free Numbers,https://www.facebook.com/chhukha/photos/a.1306772106087539/3057726404325425/?type=3,Chhukha Dzongkhag Administration ,Chhukha ,Image,,✓,Kheytsun
"Dzongkhag Hotline, Hospital and Surveillance numbers",13-Aug,Various,https://www.facebook.com/chhukha/posts/3057195004378565,Chhukha Dzongkhag Administration ,Chhukha ,Image,,✓,Kheytsun
Dzongkhag Website,,Dzongkhag Webpage,http://www.chhukha.gov.bt/,,,,,,
Dzongkhag Facebook page,,Dzongkhag Webpage,https://www.facebook.com/chhukha/,,,,,,
